sample,species,%_of_10_best_matches=species,top_hit_distance,top_hit_p_value,top_hit_shared_hashes,num_genomes,maximum_genome_length,minimum_genome_length,result,filename,total_length,number,mean_length,longest,shortest,N_count,Gaps,N50,N50n,N70,N70n,N90,N90n,#IID,HOM_REF_CT,HOM_ALT_SNP_CT,HET_SNP_CT,DIPLOID_TRANSITION_CT,DIPLOID_TRANSVERSION_CT,DIPLOID_NONSNP_NONSYMBOLIC_CT,DIPLOID_SINGLETON_CT,HAP_REF_INCL_FEMALE_Y_CT,HAP_ALT_INCL_FEMALE_Y_CT,MISSING_INCL_FEMALE_Y_CT,Contamination_Antony,Contamination_Julio,Contamination,Host,Collection_Year,Continent,Country,Dataset,Research_Point,Date_Collected,State_grocery,Organic_RWA,State,CA,Notes,GWU_RUN_NAME,Isolate_submitted,lat,lon,ST_Enterobase,ST_Pasteur,speciator
SB278790263,Escherichia coli,100.0,0.00131423,0.0,947/1000,823.0,6162737,3976195,good,SB278790263,5101194.0,241.0,21166.78,929824.0,78.0,1157.0,12.0,365157.0,5.0,325031.0,8.0,109746.0,13.0,SB278790263,526644.0,95218.0,576.0,70133.0,24850.0,0.0,89.0,0.0,0.0,62.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,10325_KP_Clinical,27/06/2018,,,,,,WELLCOME_Run_3,Escherichia coli,,,73,4,Escherichia coli
SB2710442666,Escherichia coli,100.0,0.00257463,0.0,900/1000,823.0,6162737,3976195,good,SB2710442666,4757403.0,163.0,29186.52,645788.0,78.0,488.0,5.0,167510.0,8.0,111141.0,14.0,59485.0,24.0,SB2710442666,778568.0,37847.0,371.0,27164.0,10490.0,0.0,74.0,0.0,0.0,9.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,16_KP_FUTI_CN-107_M4,10/11/2019,CA,1.0,Arizona,0.0,,WELLCOME_Run_8,Escherichia coli,34.395342,-111.763275,345,636,Escherichia coli
SB279407816,Escherichia coli,100.0,0.000780658,0.0,968/1000,823.0,6162737,3976195,good,SB279407816,5111686.0,169.0,30246.66,689744.0,78.0,1361.0,14.0,384425.0,6.0,237238.0,9.0,113616.0,16.0,SB279407816,632661.0,93754.0,474.0,68718.0,24570.0,0.0,32.0,0.0,0.0,73.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,23764_KP_Clinical,04/02/2020,,,,,,WELLCOME_Run_6,Escherichia coli,,,1193,53,Escherichia coli
SB278344794,Escherichia coli,100.0,0.00218918,0.0,914/1000,823.0,6162737,3976195,good,SB278344794,5309897.0,597.0,8894.3,551664.0,78.0,1310.0,21.0,204522.0,9.0,181301.0,14.0,74748.0,23.0,SB278344794,525591.0,95665.0,1225.0,70866.0,25180.0,0.0,35.0,0.0,0.0,33.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,3827_KP_Clinical,22/08/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,131,43,Escherichia coli
SB278344962,Escherichia coli,100.0,0.00544411,0.0,805/1000,823.0,6162737,3976195,good,SB278344962,5157395.0,215.0,23987.88,518856.0,78.0,589.0,6.0,299312.0,7.0,179617.0,12.0,54452.0,21.0,SB278344962,531916.0,89996.0,535.0,65494.0,24123.0,0.0,26.0,0.0,0.0,45.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,5532_KP_Clinical,01/12/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,38,8,Escherichia coli
SB279407350,Escherichia coli,100.0,0.00944662,0.0,695/1000,823.0,6162737,3976195,good,SB279407350,4958788.0,112.0,44274.89,1075290.0,78.0,784.0,17.0,539136.0,4.0,516290.0,5.0,146855.0,9.0,SB279407350,629979.0,96754.0,129.0,70880.0,25155.0,0.0,36.0,0.0,0.0,93.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,22109_KP_Clinical,25/11/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,569,732,Escherichia coli
SB2710445585,Escherichia coli,100.0,0.00152214,0.0,939/1000,823.0,6162737,3976195,good,SB2710445585,5092053.0,240.0,21216.89,396369.0,78.0,870.0,9.0,238483.0,8.0,172784.0,13.0,58044.0,22.0,SB2710445585,436251.0,94662.0,493.0,69368.0,24907.0,0.0,55.0,0.0,0.0,85.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,26624_KP_Clinical,14/07/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,1193,53,Escherichia coli
SB279407046,Escherichia coli,100.0,0.010314,0.0,674/1000,823.0,6162737,3976195,good,SB279407046,5315883.0,269.0,19761.65,488883.0,78.0,979.0,10.0,341105.0,7.0,128556.0,13.0,33042.0,27.0,SB279407046,636625.0,89576.0,727.0,65040.0,24367.0,0.0,287.0,0.0,0.0,48.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,18321_KP_Clinical,18/06/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,2076,77,Escherichia coli
SB278345010,Escherichia coli,100.0,0.00167981,0.0,933/1000,823.0,6162737,3976195,good,SB278345010,5001277.0,118.0,42383.7,1247656.0,78.0,392.0,4.0,433473.0,4.0,319809.0,7.0,130609.0,11.0,SB278345010,525175.0,96820.0,455.0,71163.0,25294.0,0.0,28.0,0.0,0.0,48.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,5909_KP_Clinical,19/12/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,2604,36,Escherichia coli
SB277889557,Escherichia coli,100.0,0.00433199,0.0,840/1000,823.0,6162737,3976195,good,SB277889557,5038010.0,211.0,23876.82,572011.0,78.0,578.0,6.0,212324.0,9.0,161402.0,14.0,44135.0,24.0,SB277889557,614859.0,36273.0,400.0,26210.0,10084.0,0.0,20.0,0.0,0.0,70115.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,27_KP_FUTI_CN-011,13/11/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,101,88,Escherichia coli
SB2710196138,Escherichia coli,100.0,0.00238081,0.0,907/1000,823.0,6162737,3976195,good,SB2710196138,5077157.0,166.0,30585.28,656789.0,78.0,591.0,6.0,344748.0,6.0,232482.0,9.0,43728.0,19.0,SB2710196138,500304.0,99007.0,298.0,72369.0,25858.0,0.0,94.0,0.0,0.0,122061.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,24546_KP_Clinical,09/03/2020,,,,,,WELLCOME_Run_7,Escherichia coli,,,127,33,Escherichia coli
SB2710442978,Escherichia coli,100.0,0.00296902,0.0,886/1000,823.0,6162737,3976195,good,SB2710442978,4811449.0,255.0,18868.43,302923.0,78.0,1285.0,13.0,125858.0,11.0,76106.0,21.0,26774.0,42.0,SB2710442978,768180.0,48219.0,383.0,34805.0,13255.0,0.0,69.0,0.0,0.0,11.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2020.0,North America,United States,SB27,31_KP_FUTI_CN-115_M2,10/02/2020,CA,0.0,Minnesota,0.0,,WELLCOME_Run_8,Escherichia coli,45.9896587,-94.6113288,744,2,Escherichia coli
SB2710442148,Escherichia coli,100.0,0.00628226,0.0,780/1000,823.0,6162737,3976195,good,SB2710442148,4950551.0,338.0,14646.6,228447.0,78.0,1267.0,13.0,71046.0,22.0,39406.0,40.0,15941.0,78.0,SB2710442148,769484.0,47001.0,292.0,34043.0,12654.0,0.0,39.0,0.0,0.0,9.0,Non contaminated,Non contaminated,Non contaminated,Pork,2018.0,North America,United States,SB27,5_KP_FUTI_CN-067_M3,30/12/2018,CA,0.0,Tennessee,0.0,,WELLCOME_Run_8,Escherichia coli,35.7730076,-86.2820081,1434,4e2a47154bd142b6b853e95e5760eb4fc53565d3,Escherichia coli
SB279406565,Escherichia coli,100.0,0.00414809,0.0,846/1000,823.0,6162737,3976195,good,SB279406565,4854011.0,164.0,29597.63,345276.0,78.0,976.0,10.0,204412.0,10.0,114173.0,17.0,58302.0,28.0,SB279406565,686874.0,48526.0,200.0,34997.0,13260.0,0.0,112.0,0.0,0.0,12.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2018.0,North America,United States,SB27,1_KP_FUTI_CN-043_M2,25/06/2018,CA,0.0,Minnesota,0.0,,WELLCOME_Run_6,Escherichia coli,45.9896587,-94.6113288,10,1100,Escherichia coli
SB2710445627,Escherichia coli,100.0,0.00167981,0.0,933/1000,823.0,6162737,3976195,good,SB2710445627,5240436.0,480.0,10917.58,690059.0,78.0,1287.0,15.0,349630.0,6.0,172754.0,11.0,82172.0,19.0,SB2710445627,642530.0,94903.0,357.0,69200.0,24896.0,0.0,60.0,0.0,0.0,51.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,27008_KP_Clinical,04/08/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,1193,ff67c510e13d04397ac17b6c0f9ea3ae5c8bdc4d,Escherichia coli
SB279407037,Escherichia coli,100.0,0.000906124,0.0,963/1000,823.0,6162737,3976195,good,SB279407037,5079628.0,154.0,32984.6,690008.0,78.0,1162.0,12.0,241571.0,6.0,208532.0,10.0,113616.0,17.0,SB279407037,632981.0,93555.0,321.0,68410.0,24435.0,0.0,21.0,0.0,0.0,100.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,18222_KP_Clinical,12/06/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,1193,53,Escherichia coli
SB279408704,Escherichia coli,100.0,0.00508714,0.0,816/1000,823.0,6162737,3976195,good,SB279408704,4943941.0,361.0,13695.13,539208.0,78.0,696.0,7.0,223534.0,8.0,131344.0,13.0,51881.0,24.0,SB279408704,768410.0,38900.0,879.0,28488.0,10799.0,0.0,209.0,0.0,0.0,41.0,Non contaminated,Non contaminated,Non contaminated,Beef,2020.0,North America,United States,SB27,27_KP_FUTI_CN-110_M4,05/01/2020,CA,1.0,California,1.0,,WELLCOME_Run_6,Escherichia coli,36.7014631,-118.755997,6419,910,Escherichia coli
SB2710445720,Escherichia coli,100.0,0.0026025,0.0,899/1000,823.0,6162737,3976195,good,SB2710445720,4909740.0,195.0,25178.15,547274.0,78.0,1246.0,13.0,350298.0,6.0,191879.0,9.0,112976.0,15.0,SB2710445720,639510.0,97706.0,578.0,71676.0,25601.0,0.0,43.0,0.0,0.0,54.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,26086_KP_Clinical,22/06/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,1618,8c681e7e5d7a5be06f20d480a2c10c65a0a693f3,Escherichia coli
SB279407310,Escherichia coli,100.0,0.00557568,0.0,801/1000,823.0,6162737,3976195,good,SB279407310,4967418.0,295.0,16838.71,497451.0,78.0,1059.0,13.0,155055.0,9.0,91798.0,18.0,40289.0,34.0,SB279407310,689303.0,37290.0,351.0,27049.0,10129.0,0.0,209.0,0.0,0.0,9.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,21074_KP_Clinical,16/10/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,1611,c7d274d9ffbd85c97b39a934d32432c7645cfa91,Escherichia coli
SB2710442255,Escherichia coli,100.0,0.00411762,0.0,847/1000,823.0,6162737,3976195,good,SB2710442255,4819093.0,209.0,23057.86,469767.0,78.0,491.0,5.0,178889.0,9.0,134813.0,15.0,63960.0,25.0,SB2710442255,779670.0,36517.0,588.0,26421.0,10200.0,0.0,401.0,0.0,0.0,34.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,3_KP_FUTI_CN-080_M4,08/04/2019,CA,1.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,12772,58,Escherichia coli
SB279406487,Escherichia coli,100.0,0.00414809,0.0,846/1000,823.0,6162737,3976195,good,SB279406487,4843406.0,137.0,35353.33,408870.0,78.0,784.0,8.0,217298.0,9.0,149448.0,14.0,43902.0,27.0,SB279406487,697608.0,37667.0,320.0,26968.0,10491.0,0.0,218.0,0.0,0.0,18.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,51_KP_FUTI_CN-018,02/01/2018,CA,0.0,California,1.0,,WELLCOME_Run_6,Escherichia coli,36.7014631,-118.755997,345,636,Escherichia coli
SB278791419,Escherichia coli,100.0,0.00557568,0.0,801/1000,823.0,6162737,3976195,good,SB278791419,4914223.0,165.0,29783.17,532964.0,78.0,1183.0,12.0,193304.0,9.0,163298.0,14.0,39211.0,24.0,SB278791419,685155.0,50147.0,271.0,36119.0,13810.0,0.0,242.0,0.0,0.0,41.0,Non contaminated,Non contaminated,Non contaminated,Beef,2018.0,North America,United States,SB27,7_KP_FUTI_CN-066_M4,10/12/2018,CA,0.0,Arizona,0.0,,WELLCOME_Run_5,Escherichia coli,34.395342,-111.763275,6617,9b94ef5b6d90cfa741e5ca99d9fac6e810c24f2b,Escherichia coli
SB279407162,Escherichia coli,100.0,0.00210772,0.0,917/1000,823.0,6162737,3976195,good,SB279407162,5145151.0,211.0,24384.6,552689.0,78.0,489.0,6.0,361778.0,6.0,322177.0,9.0,110438.0,14.0,SB279407162,627309.0,98926.0,667.0,72684.0,25853.0,0.0,10.0,0.0,0.0,69.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,19561_KP_Clinical,12/08/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,2604,36,Escherichia coli
SB279407339,Escherichia coli,100.0,0.00108342,0.0,956/1000,823.0,6162737,3976195,good,SB279407339,5149547.0,203.0,25367.23,520021.0,78.0,486.0,5.0,227617.0,8.0,129208.0,13.0,41698.0,25.0,SB279407339,628717.0,97770.0,424.0,71747.0,25515.0,0.0,12.0,0.0,0.0,61.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,20756_KP_Clinical,02/10/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,95,1,Escherichia coli
SB279407191,Escherichia coli,100.0,0.00439372,0.0,838/1000,823.0,6162737,3976195,good,SB279407191,5011323.0,269.0,18629.45,335623.0,78.0,688.0,7.0,148440.0,11.0,100429.0,20.0,33418.0,36.0,SB279407191,690509.0,35784.0,635.0,26001.0,9964.0,0.0,48.0,0.0,0.0,27.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,19888_KP_Clinical,22/08/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,58,24,Escherichia coli
SB278791539,Escherichia coli,100.0,0.00505504,0.0,817/1000,823.0,6162737,3976195,good,SB278791539,5134981.0,290.0,17706.83,553567.0,78.0,884.0,9.0,290237.0,7.0,192656.0,12.0,65702.0,21.0,SB278791539,648853.0,85994.0,730.0,62646.0,23218.0,0.0,44.0,0.0,0.0,48.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,51_KP_FUTI_CN-052_M1,27/08/2018,CA,1.0,California,1.0,,WELLCOME_Run_5,Escherichia coli,36.7014631,-118.755997,69,3,Escherichia coli
SB279407091,Escherichia coli,100.0,0.00218918,0.0,914/1000,823.0,6162737,3976195,good,SB279407091,5203898.0,290.0,17944.48,486655.0,78.0,881.0,9.0,318085.0,7.0,137979.0,11.0,50782.0,23.0,SB279407091,627535.0,98510.0,867.0,72441.0,25865.0,0.0,30.0,0.0,0.0,56.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,18815_KP_Clinical,09/07/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,127,33,Escherichia coli
SB2710442402,Escherichia coli,100.0,0.00774383,0.0,739/1000,823.0,6162737,3976195,good,SB2710442402,5079427.0,268.0,18953.09,640806.0,78.0,976.0,10.0,215151.0,8.0,127001.0,14.0,87933.0,24.0,SB2710442402,778244.0,37963.0,579.0,27393.0,10567.0,0.0,121.0,0.0,0.0,15.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,32_KP_FUTI_CN-094_M4,29/07/2019,CA,0.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,906,303,Escherichia coli
SB278790641,Escherichia coli,100.0,0.00149601,0.0,940/1000,823.0,6162737,3976195,good,SB278790641,4987819.0,158.0,31568.47,859739.0,78.0,970.0,10.0,392351.0,5.0,362223.0,8.0,109670.0,14.0,SB278790641,531371.0,90814.0,269.0,66615.0,23672.0,0.0,19.0,0.0,0.0,34.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,8686_KP_Clinical,17/04/2018,,,,,,WELLCOME_Run_4,Escherichia coli,,,1193,53,Escherichia coli
SB2710442282,Escherichia coli,100.0,0.00655869,0.0,772/1000,823.0,6162737,3976195,good,SB2710442282,4637994.0,136.0,34102.9,856857.0,78.0,586.0,6.0,486247.0,4.0,305066.0,6.0,126638.0,10.0,SB2710442282,780063.0,36070.0,640.0,26261.0,9949.0,0.0,172.0,0.0,0.0,28.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,4_KP_FUTI_CN-082_M4,22/04/2019,CA,0.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,8755,b33d5ca2d3762f8e0b8ab5c39315c934bd9cc60f,Escherichia coli
SB2710445122,Escherichia coli,100.0,0.00131423,0.0,947/1000,823.0,6162737,3976195,good,SB2710445122,5163274.0,249.0,20736.04,1045993.0,78.0,1061.0,11.0,361931.0,5.0,228906.0,8.0,107365.0,14.0,SB2710445122,670679.0,98314.0,678.0,72147.0,25739.0,0.0,19.0,0.0,0.0,81.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,29022_KP_Clinical,14/12/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,73,4,Escherichia coli
SB2710441499,Escherichia coli,100.0,0.00331442,0.0,874/1000,823.0,6162737,3976195,good,SB2710441499,4642796.0,199.0,23330.63,420018.0,78.0,876.0,9.0,195412.0,9.0,102701.0,16.0,41086.0,32.0,SB2710441499,769276.0,47257.0,241.0,34122.0,12885.0,0.0,243.0,0.0,0.0,17.0,Non contaminated,Non contaminated,Non contaminated,Pork,2021.0,North America,United States,SB27,2_KP_FUTI_CN-122_M3,10/05/2021,CA,0.0,California,1.0,,WELLCOME_Run_7,Escherichia coli,36.7014631,-118.755997,540,716,Escherichia coli
SB279406850,Escherichia coli,100.0,0.0212923,0.0,470/1000,823.0,6162737,3976195,good,SB279406850,9396999.0,374.0,25125.67,581540.0,78.0,1183.0,12.0,194473.0,15.0,133695.0,26.0,59326.0,48.0,SB279406850,688401.0,38163.0,368.0,27589.0,10499.0,0.0,225.0,0.0,0.0,26.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,16230_KP_Clinical,21/03/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,155,21,Escherichia coli
SB279407458,Escherichia coli,100.0,0.00113443,0.0,954/1000,823.0,6162737,3976195,good,SB279407458,5042596.0,174.0,28980.44,621572.0,78.0,382.0,4.0,326297.0,6.0,150479.0,11.0,88651.0,19.0,SB279407458,628457.0,97866.0,577.0,71810.0,25558.0,0.0,20.0,0.0,0.0,72.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,22811_KP_Clinical,25/12/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,1231,1,Escherichia coli
SB2711672599,Escherichia coli,100.0,0.0118017,0.0,640/1000,823.0,6162737,3976195,good,SB2711672599,4927656.0,135.0,36501.16,663995.0,78.0,786.0,8.0,436981.0,5.0,160661.0,9.0,92716.0,16.0,SB2711672599,647223.0,89830.0,742.0,65500.0,24190.0,0.0,1008.0,0.0,0.0,46.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,27598_KP_Clinical,17/09/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,70,6d56271c87f16c87aa65ceb35333647c3fe8e81e,Escherichia coli
SB279407222,Escherichia coli,100.0,0.00408721,0.0,848/1000,823.0,6162737,3976195,good,SB279407222,4917902.0,147.0,33455.12,512571.0,78.0,584.0,6.0,213751.0,7.0,164198.0,12.0,82959.0,21.0,SB279407222,687951.0,38350.0,657.0,27887.0,10632.0,0.0,135.0,0.0,0.0,5.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,20230_KP_Clinical,09/09/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,348,19,Escherichia coli
SB278791456,Escherichia coli,100.0,0.00969064,0.0,689/1000,823.0,6162737,3976195,good,SB278791456,4896575.0,144.0,34003.99,516343.0,78.0,1068.0,11.0,288482.0,7.0,162091.0,12.0,69462.0,21.0,SB278791456,643930.0,91194.0,452.0,66282.0,24332.0,0.0,116.0,0.0,0.0,40.0,Non contaminated,Non contaminated,Non contaminated,Beef,2018.0,North America,United States,SB27,23_KP_FUTI_CN-056_M4,24/09/2018,CA,0.0,California,1.0,,WELLCOME_Run_5,Escherichia coli,36.7014631,-118.755997,1722,1088,Escherichia coli
