sample,species,%_of_10_best_matches=species,top_hit_distance,top_hit_p_value,top_hit_shared_hashes,num_genomes,maximum_genome_length,minimum_genome_length,result,filename,total_length,number,mean_length,longest,shortest,N_count,Gaps,N50,N50n,N70,N70n,N90,N90n,#IID,HOM_REF_CT,HOM_ALT_SNP_CT,HET_SNP_CT,DIPLOID_TRANSITION_CT,DIPLOID_TRANSVERSION_CT,DIPLOID_NONSNP_NONSYMBOLIC_CT,DIPLOID_SINGLETON_CT,HAP_REF_INCL_FEMALE_Y_CT,HAP_ALT_INCL_FEMALE_Y_CT,MISSING_INCL_FEMALE_Y_CT,Contamination_Antony,Contamination_Julio,Contamination,Host,Collection_Year,Continent,Country,Dataset,Research_Point,Date_Collected,State_grocery,Organic_RWA,State,CA,Notes,GWU_RUN_NAME,Isolate_submitted
SB277890128,Campylobacter coli,100,0.00384578,0,856/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890166,Campylobacter coli,50,0.0489202,0,218/1000,22,2033919,1668523,uncertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890148,Campylobacter coli,100,0.00405685,0,849/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9901758,Campylobacter coli,100,0.0113529,0,650/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890125,Campylobacter coli,100,0.00655869,0,772/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR10537550,Campylobacter coli,100,0.00708822,0,757/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9945188,Campylobacter coli,100,0.00683925,0,764/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942910,Campylobacter coli,100,0.00587519,0,792/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890082,Campylobacter coli,100,0.00221642,0,913/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mislabelled sample to exclude,WELLCOME_Run_1,Campylobacter spp.
SRR9901683,Campylobacter coli,100,0.00411762,0,847/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10537750,Campylobacter coli,100,0.00793,0,734/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890116,Campylobacter coli,100,0.00662843,0,770/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR10537689,Campylobacter coli,100,0.00808024,0,730/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10537653,Campylobacter coli,100,0.00662843,0,770/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1163874,Campylobacter coli,100,0.00759618,0,743/1000,22,2033919,1668523,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14206027,Campylobacter jejuni,100,0.000119496,0,995/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9944953,Campylobacter jejuni,100,0.00369655,0,861/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942648,Campylobacter jejuni,100,0.00202665,0,920/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890175,Campylobacter jejuni,100,0.00305472,0,883/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9942695,Campylobacter jejuni,100,0.00274254,0,894/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14205973,Campylobacter jejuni,100,0.000191626,0,992/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890161,Campylobacter jejuni,100,0.00712406,0,756/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890160,Campylobacter jejuni,100,0.00199971,0,921/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR5363132,Campylobacter jejuni,100,0.00594242,0,790/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1999652,Campylobacter jejuni,100,0.00924552,0,700/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890149,Campylobacter jejuni,100,0.00136596,0,945/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890084,Campylobacter jejuni,100,0.00881017,0,711/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890169,Campylobacter jejuni,90,0.0312752,0,350/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890083,Campylobacter jejuni,100,0.0042398,0,843/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890134,Campylobacter jejuni,100,0.00299754,0,885/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890185,Campylobacter jejuni,100,0.0118017,0,640/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890171,Campylobacter jejuni,100,0.00378594,0,858/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890135,Campylobacter jejuni,100,0.0025468,0,901/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890172,Campylobacter jejuni,100,0.00131423,0,947/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890154,Campylobacter jejuni,100,0.001839,0,927/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR10537672,Campylobacter jejuni,100,0.0121679,0,632/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4451706,Campylobacter jejuni,100,0.00186568,0,926/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890133,Campylobacter jejuni,100,0.00528099,0,810/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890105,Campylobacter jejuni,100,0.000458924,0,981/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890102,Campylobacter jejuni,100,0.0103562,0,673/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR2182586,Campylobacter jejuni,100,0.00181236,0,928/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890173,Campylobacter jejuni,100,0.00131423,0,947/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9942896,Campylobacter jejuni,100,0.00157453,0,937/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2968333,Campylobacter jejuni,100,0.00154832,0,938/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4020196,Campylobacter jejuni,100,0.00115999,0,953/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890093,Campylobacter jejuni,100,0.00752278,0,745/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890170,Campylobacter jejuni,100,0.00113443,0,954/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mislabelled sample to exclude,WELLCOME_Run_1,Campylobacter spp.
SRR2916005,Campylobacter jejuni,100,0.00146992,0,941/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9974762,Campylobacter jejuni,100,0.00604372,0,787/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890109,Campylobacter jejuni,100,0.00113443,0,954/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890126,Campylobacter jejuni,100,0.00763299,0,742/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9911421,Campylobacter jejuni,100,0.00826969,0,725/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890178,Campylobacter jejuni,100,0.00337267,0,872/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mislabelled sample to exclude,WELLCOME_Run_1,Campylobacter spp.
SB277890117,Campylobacter jejuni,100,0.00577481,0,795/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890099,Campylobacter jejuni,100,0.00505504,0,817/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9901597,Campylobacter jejuni,100,0.00785531,0,736/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890094,Campylobacter jejuni,100,0.0025468,0,901/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890101,Campylobacter jejuni,100,0.0134036,0,606/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890142,Campylobacter jejuni,100,0.00524853,0,811/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890184,Campylobacter jejuni,100,0.00165343,0,934/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890179,Campylobacter jejuni,100,0.00369655,0,861/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890087,Campylobacter jejuni,100,0.0175939,0,528/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9942773,Campylobacter jejuni,100,0.0018924,0,925/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890152,Campylobacter jejuni,100,0.00128842,0,948/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890162,Campylobacter jejuni,100,0.00154832,0,938/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890118,Campylobacter jejuni,100,0.00652391,0,773/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890097,Campylobacter jejuni,100,0.00641996,0,776/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890183,Campylobacter jejuni,100,0.0455159,0,238/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890090,Campylobacter jejuni,100,7.16E-05,0,997/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR14205974,Campylobacter jejuni,100,0.013112,0,612/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942887,Campylobacter jejuni,100,0.00399629,0,851/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942770,Campylobacter jejuni,100,0.00216198,0,915/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890176,Campylobacter jejuni,100,0.00985499,0,685/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR2157031,Campylobacter jejuni,100,0.00375609,0,859/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9902312,Campylobacter jejuni,100,0.00834599,0,723/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890163,Campylobacter jejuni,100,0.00210772,0,917/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890139,Campylobacter jejuni,100,0.00936594,0,697/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890181,Campylobacter jejuni,80,0.0293293,0,370/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR1993469,Campylobacter jejuni,100,0.00354859,0,866/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890086,Campylobacter jejuni,100,0.00567497,0,798/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR2916016,Campylobacter jejuni,100,0.00173271,0,931/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890136,Campylobacter jejuni,100,0.00662843,0,770/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR1993463,Campylobacter jejuni,100,0.00436283,0,839/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942978,Campylobacter jejuni,100,0.00537869,0,807/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3145090,Campylobacter jejuni,100,0.00113443,0,954/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890174,Campylobacter jejuni,100,0.00202665,0,920/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR1993470,Campylobacter jejuni,100,0.00808024,0,730/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890137,Campylobacter jejuni,100,0.00108342,0,956/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890098,Campylobacter jejuni,100,0.000730741,0,970/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9974698,Campylobacter jejuni,100,0.0100207,0,681/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890159,Campylobacter jejuni,100,0.00464278,0,830/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890177,Campylobacter jejuni,100,0.0203459,0,484/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mislabelled sample to exclude,WELLCOME_Run_1,Campylobacter spp.
SRR3151674,Campylobacter jejuni,100,0.00277069,0,893/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942657,Campylobacter jejuni,100,0.00294054,0,887/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942880,Campylobacter jejuni,100,0.0106116,0,667/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1993460,Campylobacter jejuni,100,0.00175922,0,930/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4020197,Campylobacter jejuni,100,0.00103256,0,958/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890140,Campylobacter jejuni,100,0.00436283,0,839/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9974703,Campylobacter jejuni,100,0.00834599,0,723/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1993629,Campylobacter jejuni,100,0.00319852,0,878/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2182581,Campylobacter jejuni,100,0.00175922,0,930/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890138,Campylobacter jejuni,100,0.00343111,0,870/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9903080,Campylobacter jejuni,100,0.00464278,0,830/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4451711,Campylobacter jejuni,100,0.0018924,0,925/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9942926,Campylobacter jejuni,100,0.0028554,0,890/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3145088,Campylobacter jejuni,100,0.00173271,0,931/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2916014,Campylobacter jejuni,100,0.00251903,0,902/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1993471,Campylobacter jejuni,100,0.0018924,0,925/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1993461,Campylobacter jejuni,100,0.00186568,0,926/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9974792,Campylobacter jejuni,100,0.015508,0,565/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890085,Campylobacter jejuni,100,0.00673355,0,767/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SB277890143,Campylobacter jejuni,100,0.00560872,0,800/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
SRR9901911,Campylobacter jejuni,100,0.00645455,0,775/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR4020199,Campylobacter jejuni,100,0.00146992,0,941/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB277890157,Campylobacter jejuni,100,0.00458019,0,832/1000,162,1898513,1567232,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLCOME_Run_1,Campylobacter spp.
