"Genome ID","sample","Version","ST_Pasteur","dinB","icdA","pabB","polB","putP","trpA","trpB","uidA"
"64a9bbc349cc8b0e0e808fba","SB2713434066","202214121127-v3.2.1","cb8918a8b544c6cc4ddc554050301a22f04ce52d","1","138","2","55","43","18","46","1"
"64a9bbc349cc8b0eb6808f3f","SB2713434219","202214121127-v3.2.1","127","51","1","55","4","2","2","3","6"
"64a9bbc349cc8b0efb808f56","SB2713434188","202214121127-v3.2.1","987","10","28","3","3","18","1","4","2"
"64a9bbc349cc8b1032808ef3","SB2713434361","202214121127-v3.2.1","8","23","9","8","12","9","11","7","13"
"64a9bbc349cc8b1190808ffb","SB2713433988","202214121127-v3.2.1","809","10","3","4","83","41","1","4","2"
"64a9bbc349cc8b11c4809087","SB2713433807","202214121127-v3.2.1","fbd3d0c725aaa8e2c69fe71bcce920139ff43fcb","6","6","4","2","6","c74230dd71daeeef2bcd99ed6f07c5e1ab6f2cb7","2","4"
"64a9bbc349cc8b122c808f89","SB2713434133","202214121127-v3.2.1","0a654dd4987b2a2884e82e8ac1f059d3223b3c4f","32","37","48","10","74","57","4","65"
"64a9bbc349cc8b1290808f44","SB2713434211","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b12d1808f0c","SB2713434297","202214121127-v3.2.1","132","10","2","7","3","7","1","4","2"
"64a9bbc349cc8b130e809056","SB2713433879","202214121127-v3.2.1","0399813d4a7fe0f672ed84123bdbe063d86de47d","5","47","4","10","6","7","2","2"
"64a9bbc349cc8b137580907b","SB2713433819","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b13d1809024","SB2713433932","202214121127-v3.2.1","399","32","47","3","10","78","8","2","2"
"64a9bbc349cc8b14ad808fb1","SB2713434078","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b1515808f3c","SB2713434230","202214121127-v3.2.1","500867110d2a46c8e5f90ee53a4dc5dd9f7a9799","9b0cfbe9e85e90e21b66cfa73c157a9de8b04162","174","4","10","6","29","2","57"
"64a9bbc349cc8b1580809003","SB2713433978","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b15b4808ec6","SB2713434414","202214121127-v3.2.1","420","60","3","3","26","16","121","116","110"
"64a9bbc349cc8b1607808ff3","SB2713433996","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b1644809062","SB2713433862","202214121127-v3.2.1","4889f59df57c01b8983f7a815525b11658db7594","c2b887fd275183bf99c50e3ff464cb943fc179f3","3","4","10","78","29","2","5"
"64a9bbc349cc8b167480904f","SB2713433886","202214121127-v3.2.1","1739892db21b156a0c62a1f5c849da767b130b45","47","47","3","52","78","53","2","50"
"64a9bbc349cc8b1694808fe5","SB2713434010","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b1695808f58","SB2713434186","202214121127-v3.2.1","949","5","225","3","192","6","8","2","55"
"64a9bbc349cc8b16a2808ecd","SB2713434406","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b16d5808e7e","SB2713434525","202214121127-v3.2.1","21","7","33","18","2","5","28","2","2"
"64a9bbc349cc8b16da809015","SB2713433959","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b1700808eb0","SB2713434441","202214121127-v3.2.1","598","65","224","139","19","12","24","145","80"
"64a9bbc349cc8b17a4809038","SB2713433911","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b17f7808fc9","SB2713434047","202214121127-v3.2.1","77","3","43","31","33","8","3","5","11"
"64a9bbc349cc8b181f808f11","SB2713434289","202214121127-v3.2.1","73","16","4","16","30","4","19","1","27"
"64a9bbc349cc8b188a808fa7","SB2713434092","202214121127-v3.2.1","0a654dd4987b2a2884e82e8ac1f059d3223b3c4f","32","37","48","10","74","57","4","65"
"64a9bbc349cc8b18a0808fb7","SB2713434072","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b1968808ef0","SB2713434364","202214121127-v3.2.1","8b37dcab7021dce8cf760ce0d3f8bd75c7a7ac05","7b42f193052986e6971cf53c3563d40f95bff8a7","4","6","4","1","21","1","1"
"64a9bbc349cc8b1a3d808efd","SB2713434350","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b1b14808f54","SB2713434190","202214121127-v3.2.1","00867a67962f205ac8a35d66048918a56c42faec","58","3ed8eeba27ccdedfabd8e6bad0ccad87ba2c207f","4","17","25","31","18","20"
"64a9bbc349cc8b1b40808fd2","SB2713434035","202214121127-v3.2.1","f3982d6f8a5b94194197a11d0ad7865e52f688f5","87","47","3","10","78","8","2","2"
"64a9bbc349cc8b1b9c808fda","SB2713434024","202214121127-v3.2.1","365b218bd42c0e563ceae1e85f2e1ffe64a9cb69","50","91","3","10","5","8","2","30"
"64a9bbc349cc8b1cd9808f30","SB2713434246","202214121127-v3.2.1","512","25","37","4","10","84","7","4","2"
"64a9bbc349cc8b1cfc808f26","SB2713434258","202214121127-v3.2.1","475","10","2","7","3","60","1","4","23"
"64a9bbc349cc8b1d9b808ebd","SB2713434425","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b1de8809076","SB2713433825","202214121127-v3.2.1","973","160","29","7","3","7","1","4","2"
"64a9bbc349cc8b1eed808e9a","SB2713434464","202214121127-v3.2.1","675","126","248","117","159","172","170","154","154"
"64a9bbc349cc8b1f00809023","SB2713433933","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b1f3d808e96","SB2713434469","202214121127-v3.2.1","71","27","13","1","4","2","32","1","6"
"64a9bbc349cc8b1f6e808fde","SB2713434020","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b1fad808eff","SB2713434313","202214121127-v3.2.1","53","1","7","1","9","20","20","1","6"
"64a9bbc349cc8b200980902b","SB2713433925","202214121127-v3.2.1","90","4","13","10","4","2","4","1","6"
"64a9bbc349cc8b201d808eb7","SB2713434433","202214121127-v3.2.1","732","14","14","14","82","2","4","1","15"
"64a9bbc349cc8b20f6808fee","SB2713434001","202214121127-v3.2.1","4fc395db74def7333b72ede65e824172756abb96","8","28","7","18","7","1","4","2"
"64a9bbc349cc8b214b808ed9","SB2713434393","202214121127-v3.2.1","366","5","47","48","68","5","29","109","2"
"64a9bbc349cc8b222f808fe1","SB2713434016","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b22b3809068","SB2713433855","202214121127-v3.2.1","c5498f0acd876e08d814d1b112e93c74f4b2d849","84","26c6a2350f57497dd63b7316908fb1e70d782f6a","3","52","84","7","4","50"
"64a9bbc349cc8b22d2808f0f","SB2713434294","202214121127-v3.2.1","5376a02cd30cc4df9ba06cf2fe7d847abbe5539a","50","205","4","10","5","8","2","90"
"64a9bbc349cc8b22e6809020","SB2713433936","202214121127-v3.2.1","6e3e118e7523d567f6dbf21a1e9bbcdad67111bb","1","48","77","31","2","70","3","31"
"64a9bbc349cc8b22f380901b","SB2713433953","202214121127-v3.2.1","360","5","3","4","10","71","7","4","5"
"64a9bbc349cc8b2307808ff6","SB2713433993","202214121127-v3.2.1","5","5","3","3","10","5","8","2","5"
"64a9bbc349cc8b2335808edd","SB2713434388","202214121127-v3.2.1","f3982d6f8a5b94194197a11d0ad7865e52f688f5","87","47","3","10","78","8","2","2"
"64a9bbc349cc8b23fd808fdb","SB2713434023","202214121127-v3.2.1","b1bd1dda60974d33a9b2af75e44f7ea192a32e6f","3240b862a95a1c171ad094d294642414f97f0d32","0c859d1f49c1966cf1c8925bdc633cdef0af2999","7fe519b248e27a4f7807d2bd08644a759917cc9d","168e667327852c9e3db09e92217500cd989c36bb","777e1c0490bb32904d4b288ad63930adb2da1126","8f174951e07fd7234f5c61c198b84bb2a9a87895","95369d847b4f44eae327dc24976a50724dcacd27","212"
"64a9bbc349cc8b242080902c","SB2713433924","202214121127-v3.2.1","732","14","14","14","82","2","4","1","15"
"64a9bbc349cc8b2423808fcd","SB2713434040","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b24cb808f76","SB2713434154","202214121127-v3.2.1","455","2","26","12","1","3","5","3","8"
"64a9bbc349cc8b24dc808f28","SB2713434255","202214121127-v3.2.1","682","83","28","4","3","18","1","110","156"
"64a9bbc349cc8b2526808ee6","SB2713434378","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b2592808f4a","SB2713434201","202214121127-v3.2.1","1095","73","99","102","95","4","72","1","74"
"64a9bbc349cc8b2593808fb3","SB2713434076","202214121127-v3.2.1","6","1","7","1","9","2","20","1","6"
"64a9bbc349cc8b2631808ee0","SB2713434385","202214121127-v3.2.1","9147909675598fb3beba9b7796090f21f421b36f","47f6d4a889e1d997d55e4105d473a99174bfb28f","28e6ca0e63744fde0437a5bc5ce3ab1a56b6c6b2","4","52","c8b8de3a3901379d528433dc7dd243d16bcd13bd","3eba48ba0861ee954cef5f08076cae74a56d5846","c03db6386cd9ec660e0ba0ac938b716bd17e948f","156"
"64a9bbc349cc8b26a3808f6a","SB2713434167","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b26c2809069","SB2713433854","202214121127-v3.2.1","10","4","18","10","5","2","4","1","6"
"64a9bbc349cc8b270380906a","SB2713433853","202214121127-v3.2.1","487","25","123","3","10","26","53","4","65"
"64a9bbc349cc8b283e808edf","SB2713434386","202214121127-v3.2.1","bcfe7c2bd3f68cd30c0e36526ed16523fbf67b06","83","28","9de8650b15e4170b5f94da98309aed9b7e9dd617","d0b4aaebd6f112880a02eb495f09aaba5af228ea","18","1","4","40"
"64a9bbc349cc8b2860808f78","SB2713434152","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b287a809000","SB2713433981","202214121127-v3.2.1","636","7","3","3","68","74","7","4","5"
"64a9bbc349cc8b2921808f8f","SB2713434123","202214121127-v3.2.1","48","2","11","23","15","10","15","10","12"
"64a9bbc349cc8b29af808fab","SB2713434086","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b2a0c808fe9","SB2713434006","202214121127-v3.2.1","5","5","3","3","10","5","8","2","5"
"64a9bbc349cc8b2a10808ea3","SB2713434454","202214121127-v3.2.1","1092","32","47","3","10","5","8","2","50"
"64a9bbc349cc8b2aab808eb4","SB2713434437","202214121127-v3.2.1","3c79c77c1bfd2cc528e9e56bad972ca294f350b8","2","11","23","15","13c6387f1bf8a1b4ace38681675288821cac9236","15","10","12"
"64a9bbc349cc8b2acf808fb4","SB2713434075","202214121127-v3.2.1","2","8","2","7","3","7","1","4","2"
"64a9bbc349cc8b2aef809078","SB2713433823","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b2b5e808eae","SB2713434443","202214121127-v3.2.1","951","25","174","4","10","78","29","2","5"
"64a9bbc349cc8b2c20808ed3","SB2713434400","202214121127-v3.2.1","360","5","3","4","10","71","7","4","5"
"64a9bbc349cc8b2c61808f6c","SB2713434165","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b2cf7808f60","SB2713434178","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b2d11808ef2","SB2713434362","202214121127-v3.2.1","29","2","23","6","4","1","6","1","1"
"64a9bbc349cc8b2dab808f4e","SB2713434197","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b2dbd808ffe","SB2713433984","202214121127-v3.2.1","637","10","148","3","3","18","1","4","23"
"64a9bbc349cc8b2f35808f43","SB2713434213","202214121127-v3.2.1","946","157","10","90","202","30","16","190","200"
"64a9bbc349cc8b2f6c80906e","SB2713433835","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b2f9d809032","SB2713433918","202214121127-v3.2.1","90","4","13","10","4","2","4","1","6"
"64a9bbc349cc8b303080904a","SB2713433891","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b3136808f5c","SB2713434182","202214121127-v3.2.1","b4a318a2ce1c138ff3f2514a7d32cc1a9808c540","87","160","4","10","78","29","2","5"
"64a9bbc349cc8b315b808f1d","SB2713434273","202214121127-v3.2.1","97644580fec66de2cfbb22cd3784fd9da5c19888","25","3","48","10","78","8","2","90"
"64a9bbc349cc8b316f808f41","SB2713434217","202214121127-v3.2.1","535","23","9","17","135","9","11","7","13"
"64a9bbc349cc8b31c4808ebb","SB2713434428","202214121127-v3.2.1","641","2","237","23","15","10","15","10","12"
"64a9bbc349cc8b328b808fc8","SB2713434048","202214121127-v3.2.1","fbb80d8f3648a4449a389c7ab9d39af3bcb00fa6","f138d244fc75096dcca2328d8796d337380a681a","2","3","3","18","1","4","23"
"64a9bbc349cc8b32af809029","SB2713433927","202214121127-v3.2.1","947","50","225","3","192","6","8","2","55"
"64a9bbc349cc8b32b4808fd4","SB2713434033","202214121127-v3.2.1","b8ef74fa5125c4fd3839d5a399496ed997bd556e","10","e5aee40d27f088c47d9a5b3d8d13c06fb8c986d3","c9a74eb62f84b8c78399d11eaf0e98e42d44dad5","3","16","1","4","cae67c7f679d20c7af52e3fcc357f14a4db8f890"
"64a9bbc349cc8b331c809037","SB2713433913","202214121127-v3.2.1","0399813d4a7fe0f672ed84123bdbe063d86de47d","5","47","4","10","6","7","2","2"
"64a9bbc349cc8b33da808f2c","SB2713434251","202214121127-v3.2.1","360","5","3","4","10","71","7","4","5"
"64a9bbc349cc8b3497808ecb","SB2713434408","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b3560808f53","SB2713434192","202214121127-v3.2.1","f3982d6f8a5b94194197a11d0ad7865e52f688f5","87","47","3","10","78","8","2","2"
"64a9bbc349cc8b362f808e90","SB2713434475","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b365c808eba","SB2713434429","202214121127-v3.2.1","533","22","41","21","3","23","23","20","18"
"64a9bbc349cc8b3a04808f23","SB2713434262","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b3a28808e9e","SB2713434460","202214121127-v3.2.1","9147909675598fb3beba9b7796090f21f421b36f","47f6d4a889e1d997d55e4105d473a99174bfb28f","28e6ca0e63744fde0437a5bc5ce3ab1a56b6c6b2","4","52","c8b8de3a3901379d528433dc7dd243d16bcd13bd","3eba48ba0861ee954cef5f08076cae74a56d5846","c03db6386cd9ec660e0ba0ac938b716bd17e948f","156"
"64a9bbc349cc8b3afd808f05","SB2713434306","202214121127-v3.2.1","36","4","19","1","6","2","2","1","1"
"64a9bbc349cc8b3b1c808f14","SB2713434284","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b3b88808f95","SB2713434115","202214121127-v3.2.1","636","7","3","3","68","74","7","4","5"
"64a9bbc349cc8b3be5808e87","SB2713434494","202214121127-v3.2.1","4513a77a04fb2727d50e5ad6b22a17d18ac172db","5","3","62","52","16","1","4","c5ce9cfe20d3dd26899c49b4c444273d373929a0"
"64a9bbc349cc8b3c32808f19","SB2713434278","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b3c89808eb2","SB2713434439","202214121127-v3.2.1","57464ce694d8283be8b6f4a75498788b851bd664","5","47","4","10","26","7","2","2"
"64a9bbc349cc8b3ca5808e95","SB2713434470","202214121127-v3.2.1","6","1","7","1","9","2","20","1","6"
"64a9bbc349cc8b3cfa808e84","SB2713434498","202214121127-v3.2.1","708","6","6","4","166","6","7","2","4"
"64a9bbc349cc8b3d06808fc3","SB2713434055","202214121127-v3.2.1","35","4","25","1","6","2","2","1","1"
"64a9bbc349cc8b3d81809044","SB2713433898","202214121127-v3.2.1","0a654dd4987b2a2884e82e8ac1f059d3223b3c4f","32","37","48","10","74","57","4","65"
"64a9bbc349cc8b3e5c808f91","SB2713434121","202214121127-v3.2.1","87","7","33","18","2","5","8","2","2"
"64a9bbc349cc8b3f67808fe6","SB2713434009","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b42a7808ff0","SB2713433999","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b432e808ed5","SB2713434398","202214121127-v3.2.1","809","10","3","4","83","41","1","4","2"
"64a9bbc349cc8b4338809027","SB2713433929","202214121127-v3.2.1","817","10","2","3","3","7","1","4","4"
"64a9bbc349cc8b4366808eea","SB2713434373","202214121127-v3.2.1","5","5","3","3","10","5","8","2","5"
"64a9bbc349cc8b4369808f20","SB2713434267","202214121127-v3.2.1","6e3e118e7523d567f6dbf21a1e9bbcdad67111bb","1","48","77","31","2","70","3","31"
"64a9bbc349cc8b43c2808eda","SB2713434392","202214121127-v3.2.1","1739892db21b156a0c62a1f5c849da767b130b45","47","47","3","52","78","53","2","50"
"64a9bbc349cc8b4402808f67","SB2713434171","202214121127-v3.2.1","716","10","28","3","152","18","1","4","2"
"64a9bbc349cc8b4476808e93","SB2713434472","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b44ad80905f","SB2713433866","202214121127-v3.2.1","0a654dd4987b2a2884e82e8ac1f059d3223b3c4f","32","37","48","10","74","57","4","65"
"64a9bbc349cc8b44ea808ebf","SB2713434423","202214121127-v3.2.1","21","7","33","18","2","5","28","2","2"
"64a9bbc349cc8b4563808f1e","SB2713434272","202214121127-v3.2.1","6e3e118e7523d567f6dbf21a1e9bbcdad67111bb","1","48","77","31","2","70","3","31"
"64a9bbc349cc8b4576808e9d","SB2713434461","202214121127-v3.2.1","19","7","37","4","10","26","7","4","2"
"64a9bbc349cc8b4578808f18","SB2713434279","202214121127-v3.2.1","10","4","18","10","5","2","4","1","6"
"64a9bbc349cc8b4599808f38","SB2713434236","202214121127-v3.2.1","bf121d54eb73ecfac5b2ff406fa8813ee0427271","47","205","3","10","5","57","4","2"
"64a9bbc349cc8b45ba808f69","SB2713434169","202214121127-v3.2.1","27","4","24","10","5","2","4","1","6"
"64a9bbc349cc8b4730809019","SB2713433955","202214121127-v3.2.1","63b6c318e197fc98b50cbf76b772ac3d2fe1503d","185","312","195","13","8","12","9","3"
"64a9bbc349cc8b4857808ec3","SB2713434417","202214121127-v3.2.1","9147909675598fb3beba9b7796090f21f421b36f","47f6d4a889e1d997d55e4105d473a99174bfb28f","28e6ca0e63744fde0437a5bc5ce3ab1a56b6c6b2","4","52","c8b8de3a3901379d528433dc7dd243d16bcd13bd","3eba48ba0861ee954cef5f08076cae74a56d5846","c03db6386cd9ec660e0ba0ac938b716bd17e948f","156"
"64a9bbc349cc8b488e808ff5","SB2713433994","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b489580907c","SB2713433818","202214121127-v3.2.1","2","8","2","7","3","7","1","4","2"
"64a9bbc349cc8b48f6808f02","SB2713434310","202214121127-v3.2.1","1","1","1","2","1","1","2","3","1"
"64a9bbc349cc8b4940808ead","SB2713434444","202214121127-v3.2.1","649","119","3","4","10","78","29","2","5"
"64a9bbc349cc8b4a60808e99","SB2713434466","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b4b78809026","SB2713433930","202214121127-v3.2.1","3","3","8","5","11","8","3","5","3"
"64a9bbc349cc8b4be8808fd8","SB2713434028","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b4c5e808f9f","SB2713434101","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b4d65808f42","SB2713434214","202214121127-v3.2.1","4889f59df57c01b8983f7a815525b11658db7594","c2b887fd275183bf99c50e3ff464cb943fc179f3","3","4","10","78","29","2","5"
"64a9bbc349cc8b4e0a808fea","SB2713434005","202214121127-v3.2.1","5","5","3","3","10","5","8","2","5"
"64a9bbc349cc8b4e2480907f","SB2713433815","202214121127-v3.2.1","973","160","29","7","3","7","1","4","2"
"64a9bbc349cc8b4e9e808e7f","SB2713434524","202214121127-v3.2.1","b4a318a2ce1c138ff3f2514a7d32cc1a9808c540","87","160","4","10","78","29","2","5"
"64a9bbc349cc8b4ef380903b","SB2713433908","202214121127-v3.2.1","294","25","3","3","10","78","29","2","57"
"64a9bbc349cc8b4f2b808ff2","SB2713433997","202214121127-v3.2.1","88","32","47","4","10","16","7","4","5"
"64a9bbc349cc8b4f3b808ed2","SB2713434401","202214121127-v3.2.1","07a23810a567f0fcca942d4a769f32d10a881866","224cfd8362711879043f014e52cd83faeed319eb","ee2185d098c9a6dd058495b62a4d0b83248d0ab7","74","183,7bfe7a6e1fb46880d7df997095ab982f41648854","2","180","6","75"
"64a9bbc349cc8b4ffb809070","SB2713433833","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
"64a9bbc349cc8b5052808eb3","SB2713434438","202214121127-v3.2.1","c2f9d059855f3f39cea78fda5a8f26afbb9db2aa","25","3","3","10","71","29","2","57"
"64a9bbc349cc8b506c808f08","SB2713434303","202214121127-v3.2.1","4","2","4","6","4","1","6","1","1"
"64a9bbc349cc8b507c809059","SB2713433875","202214121127-v3.2.1","682","83","28","4","3","18","1","110","156"
"64a9bbc349cc8b50d880901a","SB2713433954","202214121127-v3.2.1","338","24","3","3","26","16","108","4","2"
"64a9bbc349cc8b520e808fdd","SB2713434021","202214121127-v3.2.1","75e5a1c49e8a565079c39d35fd0052571e2b11ea","32","47","3","10","16","7","4","54669137d8178cd842663edc6fd0f657eca8a600"
"64a9bbc349cc8b5276808f99","SB2713434109","202214121127-v3.2.1","95697f7163e5046810126a331a91ba33cd784b85","25","5","a81f2f1af2a0edd39424e6d6657708adffe6ae8a","1adefb24b82edc582c2bfe674285b0f939968239","6","7","2","5d4b0b39fb167fb87fc5dd29022eebcef7f3a049"
"64a9bbc349cc8b5278808f9c","SB2713434106","202214121127-v3.2.1","598","65","224","139","19","12","24","145","80"
"64a9bbc349cc8b53b9808f5e","SB2713434180","202214121127-v3.2.1","8","23","9","8","12","9","11","7","13"
"64a9bbc349cc8b53c0808fe8","SB2713434007","202214121127-v3.2.1","5","5","3","3","10","5","8","2","5"
"64a9bbc349cc8b5475809052","SB2713433883","202214121127-v3.2.1","661","83","28","110","3","18","1","110","40"
